publicado em 2011	dp=2011
publicado mas nao em 1983	dp<>1983
publicado entre 1980 e 1983	dp>=1980 and dp<=1983
publicado em 1978	dp=1978
publicado depois de 1978	dp>1978
publicado a partir de 1978	dp>=1978
publicado antes de 1978	dp<1978
publicado ate 1978	dp<=1978
publicado excepto em 1978	dp<>1978
publicado mas nao em 1978	dp<>1978
publicado entre 1980 e 1978	dp>=1980 and dp<=1978
publicado em 1996	dp=1996
publicado depois de 1996	dp>1996
publicado a partir de 1996	dp>=1996
publicado antes de 1996	dp<1996
publicado ate 1996	dp<=1996
publicado excepto em 1996	dp<>1996
publicado mas nao em 1996	dp<>1996
publicado entre 1980 e 1996	dp>=1980 and dp<=1996
publicado em 1997	dp=1997
publicado depois de 1997	dp>1997
publicado a partir de 1997	dp>=1997
publicado antes de 1997	dp<1997
publicado ate 1997	dp<=1997
publicado excepto em 1997	dp<>1997
publicado mas nao em 1997	dp<>1997
publicado entre 1980 e 1997	dp>=1980 and dp<=1997
publicado em 1999	dp=1999
publicado depois de 1999	dp>1999
publicado a partir de 1999	dp>=1999
publicado antes de 1999	dp<1999
publicado ate 1999	dp<=1999
publicado excepto em 1999	dp<>1999
publicado mas nao em 1999	dp<>1999
publicado entre 1980 e 1999	dp>=1980 and dp<=1999
publicado em 1986	dp=1986
publicado depois de 1986	dp>1986
publicado a partir de 1986	dp>=1986
publicado antes de 1986	dp<1986
publicado ate 1986	dp<=1986
publicado excepto em 1986	dp<>1986
publicado mas nao em 1986	dp<>1986
publicado entre 1980 e 1986	dp>=1980 and dp<=1986
publicado em 2000	dp=2000
publicado depois de 2000	dp>2000
publicado a partir de 2000	dp>=2000
publicado antes de 2000	dp<2000
publicado ate 2000	dp<=2000
publicado excepto em 2000	dp<>2000
publicado mas nao em 2000	dp<>2000
publicado entre 1980 e 2000	dp>=1980 and dp<=2000
publicado em 1969	dp=1969
publicado depois de 1969	dp>1969
publicado a partir de 1969	dp>=1969
publicado antes de 1969	dp<1969
publicado ate 1969	dp<=1969
publicado excepto em 1969	dp<>1969
publicado mas nao em 1969	dp<>1969
publicado entre 1980 e 1969	dp>=1980 and dp<=1969
publicado em 1979	dp=1979
publicado depois de 1979	dp>1979
publicado a partir de 1979	dp>=1979
publicado antes de 1979	dp<1979
publicado ate 1979	dp<=1979
publicado excepto em 1979	dp<>1979
publicado mas nao em 1979	dp<>1979
publicado entre 1980 e 1979	dp>=1980 and dp<=1979
publicado em 1993	dp=1993
publicado depois de 1993	dp>1993
publicado a partir de 1993	dp>=1993
publicado antes de 1993	dp<1993
publicado ate 1993	dp<=1993
publicado excepto em 1993	dp<>1993
publicado mas nao em 1993	dp<>1993
publicado entre 1980 e 1993	dp>=1980 and dp<=1993
publicado em d200	dp=d200
publicado depois de d200	dp>d200
publicado a partir de d200	dp>=d200
publicado antes de d200	dp<d200
publicado ate d200	dp<=d200
publicado excepto em d200	dp<>d200
publicado mas nao em d200	dp<>d200
publicado entre 1980 e d200	dp>=1980 and dp<=d200
publicado no seculo 1	dp=d2%
publicado antes do seculo 1	dp<d2%
publicado depois do seculo 1	dp>d2%
publicado em 1987	dp=1987
publicado depois de 1987	dp>1987
publicado a partir de 1987	dp>=1987
publicado antes de 1987	dp<1987
publicado ate 1987	dp<=1987
publicado excepto em 1987	dp<>1987
publicado mas nao em 1987	dp<>1987
publicado entre 1980 e 1987	dp>=1980 and dp<=1987
publicado em 198	dp=198
publicado depois de 198	dp>198
publicado a partir de 198	dp>=198
publicado antes de 198	dp<198
publicado ate 198	dp<=198
publicado excepto em 198	dp<>198
publicado mas nao em 198	dp<>198
publicado entre 1980 e 198	dp>=1980 and dp<=198
publicado no seculo 1	dp=1%
publicado antes do seculo 1	dp<1%
publicado depois do seculo 1	dp>1%
publicado em 1981	dp=1981
publicado depois de 1981	dp>1981
publicado a partir de 1981	dp>=1981
publicado antes de 1981	dp<1981
publicado ate 1981	dp<=1981
publicado excepto em 1981	dp<>1981
publicado mas nao em 1981	dp<>1981
publicado entre 1980 e 1981	dp>=1980 and dp<=1981
publicado em 197	dp=197
publicado depois de 197	dp>197
publicado a partir de 197	dp>=197
publicado antes de 197	dp<197
publicado ate 197	dp<=197
publicado excepto em 197	dp<>197
publicado mas nao em 197	dp<>197
publicado entre 1980 e 197	dp>=1980 and dp<=197
publicado em 199	dp=199
publicado depois de 199	dp>199
publicado a partir de 199	dp>=199
publicado antes de 199	dp<199
publicado ate 199	dp<=199
publicado excepto em 199	dp<>199
publicado mas nao em 199	dp<>199
publicado entre 1980 e 199	dp>=1980 and dp<=199
publicado em 1984	dp=1984
publicado depois de 1984	dp>1984
publicado a partir de 1984	dp>=1984
publicado antes de 1984	dp<1984
publicado ate 1984	dp<=1984
publicado excepto em 1984	dp<>1984
publicado mas nao em 1984	dp<>1984
publicado entre 1980 e 1984	dp>=1980 and dp<=1984
publicado em 19	dp=19
publicado depois de 19	dp>19
publicado a partir de 19	dp>=19
publicado antes de 19	dp<19
publicado ate 19	dp<=19
publicado excepto em 19	dp<>19
publicado mas nao em 19	dp<>19
publicado entre 1980 e 19	dp>=1980 and dp<=19
publicado em 1975	dp=1975
publicado depois de 1975	dp>1975
publicado a partir de 1975	dp>=1975
publicado antes de 1975	dp<1975
publicado ate 1975	dp<=1975
publicado excepto em 1975	dp<>1975
publicado mas nao em 1975	dp<>1975
publicado entre 1980 e 1975	dp>=1980 and dp<=1975
publicado em 1964	dp=1964
publicado depois de 1964	dp>1964
publicado a partir de 1964	dp>=1964
publicado antes de 1964	dp<1964
publicado ate 1964	dp<=1964
publicado excepto em 1964	dp<>1964
publicado mas nao em 1964	dp<>1964
publicado entre 1980 e 1964	dp>=1980 and dp<=1964
publicado em 1973	dp=1973
publicado depois de 1973	dp>1973
publicado a partir de 1973	dp>=1973
publicado antes de 1973	dp<1973
publicado ate 1973	dp<=1973
publicado excepto em 1973	dp<>1973
publicado mas nao em 1973	dp<>1973
publicado entre 1980 e 1973	dp>=1980 and dp<=1973
publicado em 1972	dp=1972
publicado depois de 1972	dp>1972
publicado a partir de 1972	dp>=1972
publicado antes de 1972	dp<1972
publicado ate 1972	dp<=1972
publicado excepto em 1972	dp<>1972
publicado mas nao em 1972	dp<>1972
publicado entre 1980 e 1972	dp>=1980 and dp<=1972
publicado em 1971	dp=1971
publicado depois de 1971	dp>1971
publicado a partir de 1971	dp>=1971
publicado antes de 1971	dp<1971
publicado ate 1971	dp<=1971
publicado excepto em 1971	dp<>1971
publicado mas nao em 1971	dp<>1971
publicado entre 1980 e 1971	dp>=1980 and dp<=1971
publicado em 1974	dp=1974
publicado depois de 1974	dp>1974
publicado a partir de 1974	dp>=1974
publicado antes de 1974	dp<1974
publicado ate 1974	dp<=1974
publicado excepto em 1974	dp<>1974
publicado mas nao em 1974	dp<>1974
publicado entre 1980 e 1974	dp>=1980 and dp<=1974
publicado em 200	dp=200
publicado depois de 200	dp>200
publicado a partir de 200	dp>=200
publicado antes de 200	dp<200
publicado ate 200	dp<=200
publicado excepto em 200	dp<>200
publicado mas nao em 200	dp<>200
publicado entre 1980 e 200	dp>=1980 and dp<=200
publicado no seculo 1	dp=2%
publicado antes do seculo 1	dp<2%
publicado depois do seculo 1	dp>2%
publicado em 1968	dp=1968
publicado depois de 1968	dp>1968
publicado a partir de 1968	dp>=1968
publicado antes de 1968	dp<1968
publicado ate 1968	dp<=1968
publicado excepto em 1968	dp<>1968
publicado mas nao em 1968	dp<>1968
publicado entre 1980 e 1968	dp>=1980 and dp<=1968
publicado em 1956	dp=1956
publicado depois de 1956	dp>1956
publicado a partir de 1956	dp>=1956
publicado antes de 1956	dp<1956
publicado ate 1956	dp<=1956
publicado excepto em 1956	dp<>1956
publicado mas nao em 1956	dp<>1956
publicado entre 1980 e 1956	dp>=1980 and dp<=1956
publicado em 196	dp=196
publicado depois de 196	dp>196
publicado a partir de 196	dp>=196
publicado antes de 196	dp<196
publicado ate 196	dp<=196
publicado excepto em 196	dp<>196
publicado mas nao em 196	dp<>196
publicado entre 1980 e 196	dp>=1980 and dp<=196
publicado em 1970	dp=1970
publicado depois de 1970	dp>1970
publicado a partir de 1970	dp>=1970
publicado antes de 1970	dp<1970
publicado ate 1970	dp<=1970
publicado excepto em 1970	dp<>1970
publicado mas nao em 1970	dp<>1970
publicado entre 1980 e 1970	dp>=1980 and dp<=1970
publicado em 1955	dp=1955
publicado depois de 1955	dp>1955
publicado a partir de 1955	dp>=1955
publicado antes de 1955	dp<1955
publicado ate 1955	dp<=1955
publicado excepto em 1955	dp<>1955
publicado mas nao em 1955	dp<>1955
publicado entre 1980 e 1955	dp>=1980 and dp<=1955
publicado em 1967	dp=1967
publicado depois de 1967	dp>1967
publicado a partir de 1967	dp>=1967
publicado antes de 1967	dp<1967
publicado ate 1967	dp<=1967
publicado excepto em 1967	dp<>1967
publicado mas nao em 1967	dp<>1967
publicado entre 1980 e 1967	dp>=1980 and dp<=1967
publicado em 20	dp=20
publicado depois de 20	dp>20
publicado a partir de 20	dp>=20
publicado antes de 20	dp<20
publicado ate 20	dp<=20
publicado excepto em 20	dp<>20
publicado mas nao em 20	dp<>20
publicado entre 1980 e 20	dp>=1980 and dp<=20
publicado em 1966	dp=1966
publicado depois de 1966	dp>1966
publicado a partir de 1966	dp>=1966
publicado antes de 1966	dp<1966
publicado ate 1966	dp<=1966
publicado excepto em 1966	dp<>1966
publicado mas nao em 1966	dp<>1966
publicado entre 1980 e 1966	dp>=1980 and dp<=1966
publicado em 1962	dp=1962
publicado depois de 1962	dp>1962
publicado a partir de 1962	dp>=1962
publicado antes de 1962	dp<1962
publicado ate 1962	dp<=1962
publicado excepto em 1962	dp<>1962
publicado mas nao em 1962	dp<>1962
publicado entre 1980 e 1962	dp>=1980 and dp<=1962
publicado em 1961	dp=1961
publicado depois de 1961	dp>1961
publicado a partir de 1961	dp>=1961
publicado antes de 1961	dp<1961
publicado ate 1961	dp<=1961
publicado excepto em 1961	dp<>1961
publicado mas nao em 1961	dp<>1961
publicado entre 1980 e 1961	dp>=1980 and dp<=1961
publicado em 1950	dp=1950
publicado depois de 1950	dp>1950
publicado a partir de 1950	dp>=1950
publicado antes de 1950	dp<1950
publicado ate 1950	dp<=1950
publicado excepto em 1950	dp<>1950
publicado mas nao em 1950	dp<>1950
publicado entre 1980 e 1950	dp>=1980 and dp<=1950
publicado em d. l	dp=d. l
publicado depois de d. l	dp>d. l
publicado a partir de d. l	dp>=d. l
publicado antes de d. l	dp<d. l
publicado ate d. l	dp<=d. l
publicado excepto em d. l	dp<>d. l
publicado mas nao em d. l	dp<>d. l
publicado entre 1980 e d. l	dp>=1980 and dp<=d. l
publicado no seculo 1	dp=d.%
publicado antes do seculo 1	dp<d.%
publicado depois do seculo 1	dp>d.%
publicado em sda	dp=sda
publicado depois de sda	dp>sda
publicado a partir de sda	dp>=sda
publicado antes de sda	dp<sda
publicado ate sda	dp<=sda
publicado excepto em sda	dp<>sda
publicado mas nao em sda	dp<>sda
publicado entre 1980 e sda	dp>=1980 and dp<=sda
publicado no seculo 1	dp=s%
publicado antes do seculo 1	dp<s%
publicado depois do seculo 1	dp>s%
publicado em 1958	dp=1958
publicado depois de 1958	dp>1958
publicado a partir de 1958	dp>=1958
publicado antes de 1958	dp<1958
publicado ate 1958	dp<=1958
publicado excepto em 1958	dp<>1958
publicado mas nao em 1958	dp<>1958
publicado entre 1980 e 1958	dp>=1980 and dp<=1958
publicado em 1931	dp=1931
publicado depois de 1931	dp>1931
publicado a partir de 1931	dp>=1931
publicado antes de 1931	dp<1931
publicado ate 1931	dp<=1931
publicado excepto em 1931	dp<>1931
publicado mas nao em 1931	dp<>1931
publicado entre 1980 e 1931	dp>=1980 and dp<=1931
publicado em 0000	dp=0000
publicado depois de 0000	dp>0000
publicado a partir de 0000	dp>=0000
publicado antes de 0000	dp<0000
publicado ate 0000	dp<=0000
publicado excepto em 0000	dp<>0000
publicado mas nao em 0000	dp<>0000
publicado entre 1980 e 0000	dp>=1980 and dp<=0000
publicado no seculo 1	dp=00%
publicado antes do seculo 1	dp<00%
publicado depois do seculo 1	dp>00%
publicado em 1942	dp=1942
publicado depois de 1942	dp>1942
publicado a partir de 1942	dp>=1942
publicado antes de 1942	dp<1942
publicado ate 1942	dp<=1942
publicado excepto em 1942	dp<>1942
publicado mas nao em 1942	dp<>1942
publicado entre 1980 e 1942	dp>=1980 and dp<=1942
publicado em sd	dp=sd
publicado depois de sd	dp>sd
publicado a partir de sd	dp>=sd
publicado antes de sd	dp<sd
publicado ate sd	dp<=sd
publicado excepto em sd	dp<>sd
publicado mas nao em sd	dp<>sd
publicado entre 1980 e sd	dp>=1980 and dp<=sd
publicado no seculo 1	dp=sd%
publicado antes do seculo 1	dp<sd%
publicado depois do seculo 1	dp>sd%
publicado em 1945	dp=1945
publicado depois de 1945	dp>1945
publicado a partir de 1945	dp>=1945
publicado antes de 1945	dp<1945
publicado ate 1945	dp<=1945
publicado excepto em 1945	dp<>1945
publicado mas nao em 1945	dp<>1945
publicado entre 1980 e 1945	dp>=1980 and dp<=1945
publicado em 1959	dp=1959
publicado depois de 1959	dp>1959
publicado a partir de 1959	dp>=1959
publicado antes de 1959	dp<1959
publicado ate 1959	dp<=1959
publicado excepto em 1959	dp<>1959
publicado mas nao em 1959	dp<>1959
publicado entre 1980 e 1959	dp>=1980 and dp<=1959
publicado em s d	dp=s d
publicado depois de s d	dp>s d
publicado a partir de s d	dp>=s d
publicado antes de s d	dp<s d
publicado ate s d	dp<=s d
publicado excepto em s d	dp<>s d
publicado mas nao em s d	dp<>s d
publicado entre 1980 e s d	dp>=1980 and dp<=s d
publicado em 1928	dp=1928
publicado depois de 1928	dp>1928
publicado a partir de 1928	dp>=1928
publicado antes de 1928	dp<1928
publicado ate 1928	dp<=1928
publicado excepto em 1928	dp<>1928
publicado mas nao em 1928	dp<>1928
publicado entre 1980 e 1928	dp>=1980 and dp<=1928
publicado em 5309	dp=5309
publicado depois de 5309	dp>5309
publicado a partir de 5309	dp>=5309
publicado antes de 5309	dp<5309
publicado ate 5309	dp<=5309
publicado excepto em 5309	dp<>5309
publicado mas nao em 5309	dp<>5309
publicado entre 1980 e 5309	dp>=1980 and dp<=5309
publicado no seculo 54	dp=53%
publicado antes do seculo 54	dp<53%
publicado depois do seculo 54	dp>53%
publicado em 1957	dp=1957
publicado depois de 1957	dp>1957
publicado a partir de 1957	dp>=1957
publicado antes de 1957	dp<1957
publicado ate 1957	dp<=1957
publicado excepto em 1957	dp<>1957
publicado mas nao em 1957	dp<>1957
publicado entre 1980 e 1957	dp>=1980 and dp<=1957
publicado em 1097	dp=1097
publicado depois de 1097	dp>1097
publicado a partir de 1097	dp>=1097
publicado antes de 1097	dp<1097
publicado ate 1097	dp<=1097
publicado excepto em 1097	dp<>1097
publicado mas nao em 1097	dp<>1097
publicado entre 1980 e 1097	dp>=1980 and dp<=1097
publicado no seculo 11	dp=10%
publicado antes do seculo 11	dp<10%
publicado depois do seculo 11	dp>10%
publicado em d.l.	dp=d.l.
publicado depois de d.l.	dp>d.l.
publicado a partir de d.l.	dp>=d.l.
publicado antes de d.l.	dp<d.l.
publicado ate d.l.	dp<=d.l.
publicado excepto em d.l.	dp<>d.l.
publicado mas nao em d.l.	dp<>d.l.
publicado entre 1980 e d.l.	dp>=1980 and dp<=d.l.
publicado em imp.	dp=imp.
publicado depois de imp.	dp>imp.
publicado a partir de imp.	dp>=imp.
publicado antes de imp.	dp<imp.
publicado ate imp.	dp<=imp.
