autor bonnie jeromediemilia,"aut=jeromediemilia, bonnie%"
autor torill christine lindstrom,"aut=lindstrom, torill christine%"
autor kjell underlid,"aut=underlid, kjell%"
autor ana leonor ribeiro,"aut=ribeiro ana leonor%"
autor celia santos,"aut=santos celia%"
autor ana leonor  ribeiro,"aut=ribeiro, ana leonor%"
autor celia santos,"aut=santos, celia%"
autor heeyoung song,"aut=song, heeyoung%"
autor gloria jorda segura,"aut=segura, gloria jorda%"
autor t.  brazelton,"aut=brazelton t.%"
autor s. greenspan,"aut=greenspan, s.%"
autor t. brazelton,"aut=brazelton t.%"
autor j. sparrow,"aut=sparrow, j.%"
autor t. berry brazelton,"aut=brazelton, t. berry%"
autor joshua d. sparrow,"aut=sparrow, joshua d.%"
autor j. d. sparrow,"aut=sparrow, j. d.%"
autor matilde correia,"aut=correia, matilde%"
autor silvia correia,"aut=correia, silvia%"
autor maria de fatima santos,"aut=santos, maria de fatima%"
autor alfredo lourenco,"aut=lourenco, alfredo%"
autor maria filomena lucas,"aut=lucas, maria filomena%"
autor a. namora,"aut=namora, a.%"
autor maria jose ribas,"aut=ribas, maria jose%"
autor carla ferraz,"aut=ferraz, carla%"
autor manuel alves rodrigues,"aut=rodrigues, manuel alves%"
autor didia cruz,"aut=cruz, didia%"
autor emanuel ferreira,"aut=ferreira, emanuel%"
autor maria assuncao nogueira,"aut=nogueira, maria assuncao%"
autor isabel araujo,"aut=araujo, isabel%"
autor constanca paul,"aut=paul, constanca%"
autor manuela martins,"aut=martins, manuela%"
autor antonio mendonca,"aut=mendonca, antonio%"
autor claudia aguiar,"aut=aguiar, claudia%"
autor debora leca,"aut=leca, debora%"
autor diva jorge,"aut=jorge, diva%"
autor pedro goncalves,"aut=goncalves, pedro%"
autor rosa suner soler,"aut=soler, rosa suner%"
autor joao tavares,"aut=tavares, joao%"
autor alcione silva,"aut=silva, alcione%"
autor germano rodrigues couto,"aut=couto, germano rodrigues%"
autor cidalia frias,"aut=frias, cidalia%"
autor maria manuela martins,"aut=martins, maria manuela%"
autor carla silvia fernandes,"aut=fernandes, carla silvia%"
autor margarida vieira,"aut=vieira, margarida%"
autor elda freitas,"aut=freitas, elda%"
autor ana fernandes,"aut=fernandes, ana%"
autor dinamene oliveira,"aut=oliveira, dinamene%"
autor raquel costa,"aut=costa, raquel%"
autor maria teresa rebelo,"aut=rebelo, maria teresa%"
autor kathleen huttlinger,"aut=huttlinger kathleen%"
autor jennifer schallerayers,"aut=schallerayers, jennifer%"
autor alan pearson,"aut=pearson, alan%"
autor lucia lopes,"aut=lopes, lucia%"
autor sandra santos,"aut=santos, sandra%"
autor susana duarte,"aut=duarte, susana%"
autor sandra lindquist,"aut=lindquist, sandra%"
autor donna bridgman,"aut=bridgman, donna%"
autor donna bridgman musser,"aut=musser, donna bridgman%"
autor robin rice,"aut=rice, robin%"
autor gayle h. sullivan,"aut=sullivan, gayle h.%"
autor joanne p. sheehan,"aut=sheehan, joanne p.%"
autor melanie shorter,"aut=shorter, melanie%"
autor louise caroline stayt,"aut=stayt, louise caroline%"
autor joanna davies,"aut=davies, joanna%"
autor fiona bickell,"aut=bickell, fiona%"
autor shane tibby,"aut=tibby, shane%"
autor a. catela,"aut=catela, a.%"
autor pedro cunha,"aut=cunha, pedro%"
autor bruno gomes,"aut=gomes, bruno%"
autor a. cardoso,"aut=cardoso, a.%"
autor m. fernandes,"aut=fernandes, m.%"
autor rui moreira,"aut=moreira, rui%"
autor marco menaia,"aut=menaia, marco%"
autor ana carlota fernandes,"aut=fernandes, ana carlota%"
autor sergio fernandes,"aut=fernandes, sergio%"
autor ana maia ferreira,"aut=ferreira, ana maia%"
autor catarina ferreira,"aut=ferreira, catarina%"
autor sonia ferrao,"aut=ferrao, sonia%"
autor karla giacomin,"aut=giacomin, karla%"
autor gail nichols,"aut=nichols, gail%"
autor ana maria neves rocha,"aut=rocha, ana maria neves%"
autor bruno fernandes,"aut=fernandes, bruno%"
autor luis sousa,"aut=sousa, luis%"
autor cristina marquesvieira,"aut=marquesvieira, cristina%"
autor robert twycross,"aut=twycross, robert%"
autor sergio r. alonso lopez,"aut=lopez, sergio r. alonso%"
autor alexandra barradas,"aut=barradas, alexandra%"
autor maria adelaide pereira,"aut=pereira, maria adelaide%"
autor joao paulo rodrigues,"aut=rodrigues, joao paulo%"
autor r. coelho,"aut=coelho, r.%"
autor cristina jeremias,"aut=jeremias, cristina%"
autor fatima rodrigues,"aut=rodrigues, fatima%"
autor cynthia degazon,"aut=degazon, cynthia%"
autor susana loureiro,"aut=loureiro, susana%"
autor jean watson,"aut=watson, jean%"
autor eliasz engelhardt,"aut=engelhardt, eliasz%"
autor marilia marino,"aut=marino, marilia%"
autor almir tavares,"aut=tavares, almir%"
autor leonardo caixeta,"aut=caixeta, leonardo%"
autor j. pinto machado,"aut=machado, j. pinto%"
autor mayra amaral,"aut=amaral, mayra%"
autor francisco artal,"aut=artal, francisco%"
autor joao apostolo,"aut=apostolo, joao%"
autor humberto correa,"aut=correa, humberto%"
autor fernando volpe,"aut=volpe, fernando%"
autor madalena nunes,"aut=nunes, madalena%"
autor ana tojal,"aut=tojal, ana%"
autor carla ferreira,"aut=ferreira, carla%"
autor celine paiva,"aut=paiva, celine%"
autor luisa rodrigues,"aut=rodrigues, luisa%"
autor valeska marinho,"aut=marinho, valeska%"
autor jerson laks,"aut=laks, jerson%"
autor dulce cabete,"aut=cabete, dulce%"
autor joao gouveia,"aut=gouveia joao%"
autor pedro montalvao,"aut=montalvao, pedro%"
autor guadalupe simoes,"aut=simoes, guadalupe%"
autor papa bento xvi,"aut=bento xvi, papa%"
autor susan heady,"aut=heady, susan%"
autor jhonny abreu,"aut=abreu, jhonny%"
autor maria sousa,"aut=sousa, maria%"
autor maria peixoto,"aut=peixoto, maria%"
autor teresa martins,"aut=martins, teresa%"
autor conxa castell,"aut=castell, conxa%"
autor p. riley,"aut=riley, p.%"
autor k. mcclaughlyn,"aut=mcclaughlyn, k.%"
autor s. lopez guitierrez,"aut=lopez guitierrez, s.%"
autor c. pavia sesma,"aut=pavia sesma, c.%"
autor carina sparudlundin,"aut=sparudlundin, carina%"
autor ingbritt ohrn,"aut=ohrn, ingbritt%"
autor ella danielson,"aut=danielson, ella%"
autor maria arminda silva tavares,"aut=tavares, maria arminda silva%"
autor yeapyng lin,"aut=lin, yeapyng%"
autor yunfang tsai,"aut=tsai, yunfang%"
autor goncalo miranda,"aut=miranda, goncalo%"
autor paulo lobato faria,"aut=faria, paulo lobato%"
autor sergio neves,"aut=neves, sergio%"
autor angela brandao,"aut=brandao, angela%"
autor jennifer kelly,"aut=kelly, jennifer%"
autor gibson dcruz,"aut=dcruz, gibson%"
autor david wright,"aut=wright, david%"
autor kathryn houston,"aut=houston, kathryn%"
autor juan antonio carrilo norte,"aut=carrilo norte, juan antonio%"
autor c. pestana,"aut=pestana, c.%"
autor mauro carvalho,"aut=carvalho, mauro%"
autor antonio fernando amaral,"aut=amaral, antonio fernando%"
autor m.a. costa,"aut=costa, m.a.%"
autor jose eymard pitella,"aut=pitella, jose eymard%"
autor cristina gomes,"aut=gomes, cristina%"
autor filomena santos,"aut=santos, filomena%"
autor vera ferreira,"aut=ferreira, vera%"
autor ana mariano,"aut=mariano, ana%"
autor anita haahr,"aut=haahr, anita%"
autor h. carmona da  mota,"aut=mota, h. carmona da%"
autor patricia freed,"aut=freed, patricia%"
autor luis loureiro,"aut=loureiro, luis%"
autor carlos dias,"aut=dias, carlos%"
autor rui aragao,"aut=aragao, rui%"
autor karen macmillan,"aut=macmillan, karen%"
autor jane hopkinson,"aut=hopkinson, jane%"
autor jacquie peden,"aut=peden, jacquie%"
autor dennie hycha,"aut=hycha, dennie%"
autor direccao geral da saude portugal. ministerio da saude,"aut=portugal. ministerio da saude, direccao geral da saude%"
autor julio cesar rocha,"aut=rocha, julio cesar%"
autor isabel guerra,"aut=guerra, isabel%"
autor paula estanqueiro,"aut=estanqueiro, paula%"
autor manuel salgado,"aut=salgado, manuel%"
autor manuel jorge rodrigues,"aut=rodrigues, manuel jorge%"
autor maria clarisse louro,"aut=louro, maria clarisse%"
autor catarina barbosa,"aut=barbosa, catarina%"
autor milene lourenco,"aut=lourenco, milene%"
autor cristina fonseca fernandes,"aut=fernandes, cristina fonseca%"
autor cesar fonseca,"aut=fonseca, cesar%"
autor ana infante,"aut=infante, ana%"
autor carreira maria,"aut=maria, carreira%"
autor correia maria,"aut=maria, correia%"
autor joana rodrigues,"aut=rodrigues, joana%"
autor ana raquel costa,"aut=costa, ana raquel%"
autor claudia machado,"aut=machado, claudia%"
autor filipe fernandes,"aut=fernandes, filipe%"
autor marisa salazar,"aut=salazar, marisa%"
autor antonio gil,"aut=gil, antonio%"
autor jan cabri,"aut=cabri, jan%"
autor pedro ferreira,"aut=ferreira, pedro%"
autor christine champion,"aut=champion, christine%"
autor gaston mialaret,"aut=mialaret, gaston%"
autor lucilia nunes,"aut=nunes, lucilia%"
autor sharon kimball,"aut=kimball, sharon%"
autor robyn p. cant,"aut=cant, robyn p.%"
autor simon j. cooper,"aut=cooper, simon j.%"
autor ana quesado,"aut=quesado, ana%"
autor sharam  baraz,"aut=baraz, sharam%"
autor fernanda andrade,"aut=andrade, fernanda%"
autor luis pereira,"aut=pereira, luis%"
autor m¦ felicia pereira tavares pinheiro,"aut=pinheiro, m¦ felicia pereira tavares%"
autor b. k. redman,"aut=redman, b. k.%"
autor vera saboia,"aut=saboia, vera%"
autor geilsa valente,"aut=valente, geilsa%"
autor pedro sequeira,"aut=sequeira, pedro%"
autor charlene goupil,"aut=goupil, charlene%"
autor sophie martin,"aut=martin, sophie%"
autor amaral antonio,"aut=antonio, amaral%"
autor jose del porto,"aut=del porto, jose%"
autor  afonso,"aut=afonso%"
autor jose pittella,"aut=pittella, jose%"
autor alexandre tomas,"aut=tomas, alexandre%"
autor augusto  jacinto,"aut=jacinto, augusto%"
autor cidalina abreu,"aut=abreu, cidalina%"
autor a. c. amaral,"aut=amaral, a. c.%"
autor renato baiao,"aut=baiao, renato%"
autor suely baptista,"aut=baptista, suely%"
autor jeannine m. brant,"aut=brant, jeannine m.%"
autor sergio deodato,"aut=deodato, sergio%"
autor elaine ferreira,"aut=ferreira, elaine%"
autor luiza tanaka,"aut=tanaka, luiza%"
autor maria romana friedlander,"aut=friedlander, maria romana%"
autor nebia figueiredo,"aut=figueiredo, nebia%"
autor margarida filipe,"aut=filipe, margarida%"
autor carlos vilela,"aut=vilela, carlos%"
autor zigue goncalves,"aut=goncalves, zigue%"
autor amelia maria brito gracias,"aut=gracias, amelia maria brito%"
autor keith hurst,"aut=hurst, keith%"
autor adam smith,"aut=smith, adam%"
autor mar lleixa fortuno,"aut=lleixa fortuno, mar%"
autor ricardo ferreira,"aut=ferreira, ricardo%"
autor isabel fernandes,"aut=fernandes, isabel%"
autor ana lucas,"aut=lucas, ana%"
autor o. lima marinho,"aut=marinho, o. lima%"
autor afaf ibrahim meleis,"aut=meleis, afaf ibrahim%"
autor maria da guadalupe mestrinho,"aut=mestrinho, maria da guadalupe%"
autor frances donovan monahan,"aut=monahan, frances donovan%"
autor dries myny,"aut=myny, dries%"
autor ordem dos enfermeiros,"aut=ordem dos enfermeiros%"
autor janice  rider ellis,"aut=rider ellis, janice%"
autor celia  love hartley,"aut=love hartley, celia%"
autor antonio manuel silva,"aut=silva, antonio manuel%"
autor carmen silva,"aut=silva, carmen%"
autor margarida silva,"aut=silva, margarida%"
autor joao graveto,"aut=graveto, joao%"
autor maria luiza de oliveira teixeira,"aut=teixeira, maria luiza de oliveira%"
autor marcia de assuncao ferreira,"aut=ferreira, marcia de assuncao%"
autor rogerio goncalves,"aut=goncalves, rogerio%"
autor ann tourangeau,"aut=tourangeau, ann%"
autor fernanda umbelino,"aut=umbelino, fernanda%"
autor diane billay,"aut=billay, diane%"
autor florence myric,"aut=myric, florence%"
autor florence luhanga,"aut=luhanga, florence%"
autor angeline bushy,"aut=bushy, angeline%"
autor beverly c. flynn,"aut=flynn, beverly c.%"
autor joyce s. krothe,"aut=krothe, joyce s.%"
autor max r. lum,"aut=lum, max r.%"
autor lynelle phillips,"aut=phillips, lynelle%"
autor diane m. narkunas,"aut=narkunas, diane m.%"
autor beth f. hibbs,"aut=hibbs, beth f.%"
autor charlene c. ossler,"aut=ossler, charlene c.%"
autor carolyn williams,"aut=williams, carolyn%"
autor ana queiroz,"aut=queiroz, ana%"
autor maria helena silva,"aut=silva, maria helena%"
autor a. carolyn williams,"aut=williams, a. carolyn%"
autor annette m. lynch,"aut=lynch, annette m.%"
autor roberta a. kordish,"aut=kordish, roberta a.%"
autor lenore t. williams,"aut=williams, lenore t.%"
autor vania goncalves,"aut=goncalves, vania%"
autor judith b. igoe,"aut=igoe, judith b.%"
autor sudie speer,"aut=speer, sudie%"
autor rebecca jester,"aut=jester, rebecca%"
autor nuno murcho,"aut=murcho, nuno%"
autor antonio silva,"aut=silva, antonio%"
autor karen balakas,"aut=balakas, karen%"
autor virginia k. drake,"aut=drake, virginia k.%"
autor patricia e. freed,"aut=freed, patricia e.%"
autor anne cahill schappe,"aut=schappe, anne cahill%"
autor neiva santos,"aut=santos, neiva%"
autor joaquim duarte,"aut=duarte, joaquim%"
autor raul silva,"aut=silva, raul%"
autor pedro almeida,"aut=almeida, pedro%"
autor joao  monteiro,"aut=monteiro, joao%"
autor celia madalena,"aut=madalena, celia%"
autor sergio blay,"aut=blay, sergio%"
autor maria ligia marcondes  camargo,"aut=camargo, maria ligia marcondes%"
autor jorge franco,"aut=franco, jorge%"
autor carlos machado,"aut=machado, carlos%"
autor luiz pinto,"aut=pinto, luiz%"
autor margot phaneuf,"aut=phaneuf, margot%"
autor almir tavares,"aut=tavares almir%"
autor gail f. wilkerson,"aut=wilkerson, gail f.%"
autor mario avila,"aut=avila, mario%"
autor angela ribeiro,"aut=ribeiro, angela%"
autor elisabeth uchoa,"aut=uchoa, elisabeth%"
autor teodoro briz,"aut=briz, teodoro%"
autor leon gordis,"aut=gordis, leon%"
autor james f. jekel,"aut=jekel, james f.%"
autor joann g. elmore,"aut=elmore, joann g.%"
autor david l. katz,"aut=katz, david l.%"
autor robert e. mckeon,"aut=mckeon, robert e.%"
autor carol z. garrison,"aut=garrison, carol z.%"
autor carmen asensio vicente,"aut=asensio vicente, carmen%"
autor jose amorim,"aut=amorim, jose%"
autor jose augusto simoes,"aut=simoes, jose augusto%"
autor carlos sequeira,"aut=sequeira, carlos%"
autor helena jose,"aut=jose, helena%"
autor a.e. rojas villar,"aut=rojas villar, a.e.%"
autor daniela leal,"aut=leal, daniela%"
autor constantino sakellarides,"aut=sakellarides, constantino%"
autor nidia salgueiro,"aut=salgueiro, nidia%"
autor vera sofia joaquim cavaco,"aut=cavaco, vera sofia joaquim%"
autor jerome favrold,"aut=favrold, jerome%"
autor denise soares,"aut=soares, denise%"
autor joao marquesteixeira,"aut=marquesteixeira, joao%"
autor manuel antunes,"aut=antunes, manuel%"
autor lara ferreira,"aut=ferreira, lara%"
autor lucinda valerio,"aut=valerio, lucinda%"
autor susana ramos,"aut=ramos, susana%"
autor m¦do rosario couto,"aut=couto, m¦do rosario%"
autor nunes serra,"aut=serra, nunes%"
autor emanuela biraghi,"aut=biraghi, emanuela%"
autor anna maria tortorano,"aut=tortorano, anna maria%"
autor viriato moreira,"aut=moreira, viriato%"
autor manuel paulino,"aut=paulino, manuel%"
autor sara t. fry,"aut=fry, sara t.%"
autor soile juujarvi,"aut=juujarvi, soile%"
autor sandra pereira,"aut=pereira, sandra%"
autor amelia rego,"aut=rego, amelia%"
autor accao medica,"aut=accao medica%"
autor ferdinando cancelli,"aut=cancelli, ferdinando%"
autor maria manuela correia,"aut=correia, maria manuela%"
autor sofia micaela de andrade abreu,"aut=abreu, sofia micaela de andrade%"
autor madalena alarcao,"aut=alarcao, madalena%"
autor maria joana campos,"aut=campos, maria joana%"
autor jose miguel padilha,"aut=padilha, jose miguel%"
autor fernando oliveira,"aut=oliveira, fernando%"
autor t. carvalho,"aut=carvalho, t.%"
autor c. lopes,"aut=lopes, c.%"
autor shirley m. h. hanson,"aut=hanson, shirley m. h.%"
autor joanna rowe kaakinen,"aut=kaakinen, joanna rowe%"
autor ruth launius jenkis,"aut=jenkis, ruth launius%"
autor isabel nunes,"aut=nunes, isabel%"
autor maurice porot,"aut=porot, maurice%"
autor daniel sampaio,"aut=sampaio, daniel%"
autor jose gameiro,"aut=gameiro, jose%"
autor p. seabra,"aut=seabra, p.%"
autor robin skynner,"aut=skynner, robin%"
autor john cleese,"aut=cleese, john%"
autor donzilia losa,"aut=losa, donzilia%"
autor assuncao megre,"aut=megre, assuncao%"
autor lorraine wright,"aut=wright, lorraine%"
autor maureen leahey,"aut=leahey, maureen%"
autor e. chan,"aut=chan, e.%"
autor w. chen,"aut=chen, w.%"
autor miguel angel garcia navarro,"aut=navarro, miguel angel garcia%"
autor vanessa carlos,"aut=carlos, vanessa%"
autor hilaire thompson,"aut=thompson, hilaire%"
autor leticia justino,"aut=justino, leticia%"
autor sofia costa,"aut=costa, sofia%"
autor teresa lopes,"aut=lopes, teresa%"
autor elsa santos,"aut=santos, elsa%"
autor ana santos,"aut=santos, ana%"
autor bruno cunha,"aut=cunha, bruno%"
autor jose manuel marques,"aut=marques, jose manuel%"
autor allaert francoisandre,"aut=francoisandre, allaert%"
autor joao gouveia,"aut=gouveia, joao%"
autor theresa hurd,"aut=hurd, theresa%"
autor domingos malta,"aut=malta, domingos%"
autor paulo alves,"aut=alves, paulo%"
autor c.j. moffatt,"aut=moffatt, c.j.%"
autor rosa mendes,"aut=mendes, rosa%"
autor luciana romano,"aut=romano, luciana%"
autor marlene moreira,"aut=moreira, marlene%"
autor joao moreira,"aut=moreira, joao%"
autor p. vowden,"aut=vowden, p.%"
autor r.a cooper,"aut=cooper, r.a%"
autor nancy baugh,"aut=baugh, nancy%"
autor daniela kaspar,"aut=kaspar, daniela%"
autor cristina miguens,"aut=miguens, cristina%"
autor j. verdu soriano,"aut=verdu soriano, j.%"
autor a. nolasco bonmati,"aut=nolasco bonmati, a.%"
autor laura bermejo munoz,"aut=munoz, laura bermejo%"
autor antonio amaral,"aut=amaral, antonio%"
